p, d, t, time
4, 1, 0, 0.000000
4, 1, 1, 0.000000
4, 1, 2, 11.000000
4, 1, 3, 0.000000
4, 1, 4, 0.000000
4, 1, 5, 0.000000
4, 2, 0, 43.000000
4, 2, 1, 7.000000
4, 2, 2, 55.000000
4, 2, 3, 7.000000
4, 2, 4, 46.000000
4, 2, 5, 15.000000
4, 3, 0, 186.000000
4, 3, 1, 16.000000
4, 3, 2, 16.000000
4, 3, 3, 34.000000
4, 3, 4, 45.000000
4, 3, 5, 46.000000
4, 4, 0, 3244.000000
4, 4, 1, 245.000000
4, 4, 2, 232.000000
4, 4, 3, 0.000000
4, 4, 4, 0.000000
4, 4, 5, 0.000000
4, 5, 0, 79250.000000
4, 5, 1, 461.000000
4, 5, 2, 431.000000
4, 5, 3, 19849.000000
4, 5, 4, 1702.000000
4, 5, 5, 924.000000
4, 6, 0, 1997334.000000
4, 6, 1, 5676.000000
4, 6, 2, 3889.000000
4, 6, 3, 0.000000
4, 6, 4, 0.000000
4, 6, 5, 0.000000
